ProductName,CategoryId,SupplierId,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued
PowerEdge R750 Rack Server,1,1,1 unit,4299.99,25,5,10,false
ProLiant DL380 Gen10,1,2,1 unit,3899.00,15,10,5,false
ThinkSystem SR650 V2,1,3,1 unit,4150.50,20,0,8,false
AWS EC2 Reserved Instance 1Y,2,5,1 license,1200.00,999,0,100,false
Azure Virtual Desktop License,2,,1 license,450.00,500,50,50,false
Catalyst 9300 Switch 48P,3,4,1 unit,6500.00,10,5,3,false
Meraki MR56 Access Point,3,4,1 unit,1299.00,30,10,10,false
ISR 4331 Router,3,4,1 unit,2850.00,8,2,3,false
Windows Server 2022 Datacenter,4,,1 license,6155.00,100,0,20,false
VMware vSphere Enterprise Plus,4,,1 license,4525.00,50,0,10,false
Red Hat Enterprise Linux Server,4,,1 license,799.00,200,0,30,false
PowerVault ME5024 Storage,5,1,1 unit,8500.00,5,2,2,false
StoreEasy 1660 NAS,5,2,1 unit,5200.00,7,3,3,false
Synology RS1221+ RackStation,5,,1 unit,1350.00,12,5,5,false
FortiGate 60F Firewall,6,,1 unit,695.00,40,10,15,false
Palo Alto PA-440 Firewall,6,,1 unit,1850.00,15,5,5,false
CrowdStrike Falcon License,6,,1 license,899.00,300,0,50,false
Cisco Umbrella DNS Security,6,4,1 license,320.00,500,0,100,false
Dell Precision 5570 Workstation,1,1,1 unit,2899.00,18,5,8,false
HP ZBook Fury 16 G9,1,2,1 unit,3150.00,12,3,5,false
